city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	description 2	Audio Evidence	Image/Video/Visual Evidence	Haunted Places Date	Haunted Places Witness Count	Time of Day	Apparition Type I	Apparition Type II	Apparition Type III	Event Type	Alcohol Abuse Rate	Amount of daylight	Sunrise Time	Sunset Time	Max Temperature	Min Temperature	Precipitation	comment count	EHP rating	image	urban_or_near	color	element	Dimensions
Brownstown	United States	there are hauntings all threw out the park. Apparitions of people walking up and down the streets late hours of the night.	Tela Valley	Michigan	MI	-83.2619069	42.177167	-83.2572332	42.1261157		False	True	1981-03-07	1	Evening	Ghost	Single Ghost	Unknown	Murder, Supernatural	19.8	11:32	6:58	6:30	2.6	-5.8	0.0	Unknown	Unknown	Unknown	True	RGB(178, 178, 174)	Unknown	474x354
Burton	United States	ticking clocks that are not there. Things will turn on by them self.	Naturally You	Michigan	MI			-83.6163423	42.99947179999999		True	False	2025-01-01	0	Unknown	Unknown	Unknown	Unknown	Unknown	19.8	09:05	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(8, 5, 4)	person, person, person, truck, car, person	474x575
Byron	United States	There was a man named Nick Bradon that lived and built the house, he was plowing the field when he fell of the tractor and got ran over with the blades of the plow. There are reports of lights that go on and off, rocking chairs that rock on their own, foot steps, and there have been reports if people sleeping in the upstairs rooms have seen figure of people watching over them.	McGuire's House	Michigan	MI			-83.9444027	42.8228091		True	True	2025-01-01	1	Unknown	Ghost	Single Ghost	Unknown	Death	19.8	09:06	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(152, 160, 153)	Unknown	474x355
Calumet	United States	As you go in the old place back in 1903 a man was murdered but all sorts of orbs were seen and sightings and even screaming in the break of the night as you still go there you can hear screams and screams of a young girl that had died there her name was Elanda Rowe. The ghost of the great actress Helena Modjeska has also been seen here and is considered the resident ghost.	Calumet theatre	Michigan	MI	-88.45344229999999	47.24782339999999	-88.45400599999999	47.24659219999999	 47.247818°, -88.453429°  340 6th Street, Calumet, Michigan The Calumet Theater opened in March of 1900 as the Calumet Opera House, and is renowned as being one of the most notorious haunted locations in the state of Michigan. It is said to be inhabited by several different spirits, including that of a famous actress named Madame Helena Modjeska, who starred in performances until her death in 1909. Ever since, performers and audience members have reported encountering the spirit of a woman believed to be Madame Helena Modjeska. In 1958, one performer named Adysse Lane even claimed that the deceased actress appeared and attempted to help during a performance when she had forgotten her lines. Another spirit said to haunt the location is that of a man who was murdered in 1903, and who allegedly appears at night to relive his tragic death before mysteriously vanishing. Guests at the old theater also report witnessing the apparitions of various unidentified men, women, and children who may have been victims of the Italian Hall Disaster of 1913. During a Christmas party on December 24, 1913, the nearby Italian Hall was evacuated after it was believed the building had caught fire. Although it was later discovered there was no fire, the ensuing panic resulted in the deaths of 70 party-goers, most of which were children whose bodies were temporarily stored at the Calumet Opera House before burial. It is believed that many of these victims may have remained at the theater, where guests report hearing the sounds of disembodied voices, laughter, and children playing. The Calumet Theater was designated as a Michigan State Historic Site and added to the National Register of Historic Places in 1971.	True	True	1903-03-07	1	Evening	Orb, Ghost	Single Ghost	Female Ghost	Death, Supernatural	19.8	11:22	6:52	6:14	unknown	unknown	unknown	0	71.4	False	True	RGB(144, 91, 36)	Unknown	474x315
Canton	United States	many legends about this rd. the bridge is said to be haunted by a woman who's child was killed by a car, she walks the bridge and you can hear the baby cry. dark figures chase your car and there is said to be a house on a side rd. that is haunted	Denton rd	Michigan	MI	-83.52522599999999	42.2853235	-83.48211599999999	42.3086444		True	True	2021-03-07	0	Unknown	Ghost	Several Ghosts	Child Ghost	Supernatural Phenomenon	19.8	11:33	6:59	6:31	4.2	-6.6	0.0	Unknown	Unknown	Unknown	True	RGB(69, 66, 18)	Unknown	474x315
Canton	United States	The story goes that a group of kids were playing chicken near Denton Road bridge, and one of them proved to be chicken. His car swerved off the road when they reached the bridge, and crashed into the river below. Many people claim to see a light come out of river and chase their vehicle to the end of the road, if they stop at the center of the bridge at night.- November 2003 Update: the road has been reconfigured in that area and that the bridge no longer exists. That is not to say that the hauntings no longer occur.	Denton Road Bridge	Michigan	MI	-83.52522599999999	42.2853235	-83.48211599999999	42.3086444	" 42.297179°, -83.525812°  Denton Road, Canton Township, Michigan The Denton Road Bridge in Canton Township, Michigan is said to be haunted by a spirit known as ""The Blue Lady,"" whose glowing blue apparition is often encountered by motorists and pedestrians. The Blue Lady is believed by many to be the spirit of a woman who was murdered by her husband during the early 1800's after she was caught having an affair. On the night her acts of adultery were discovered it's said the woman's husband murdered the other man with an ax before continuing on to his wife. The woman fled with a lantern on foot with her newborn son tucked inside a blanket. She was finally caught at the Denton Road Bridge, where she was hacked apart with the same ax used to kill her former lover. Now her spirit is said to haunt the location of her death, where locals have also reported witnessing strange glowing orbs, and hearing the disembodied sounds of a baby crying late at night. Others report feeling a strange presence, as if being followed by an unseen entity.   Sheldon Cemetery  42.280564°, -83.476519°  S. Sheldon Road, Canton Township, Michigan Sheldon Cemetery in Canton, Michigan was established in 1839, and is said to be haunted by the spirits of several unidentified men and women. Visitors often report witnessing apparitions and shadow figures near the woods at the far end of the cemetery, as well as the spirits of several young children who may have been killed by a disease outbreak in the early 1870's. Others report feeling sudden cold spots and drops in temperature, or smelling the strong scent of flowery perfume wafting on the breeze. Paranormal enthusiasts visiting the old cemetery late at night also report experiencing issues with electronic equipment such as devices turning on and off by themselves and batteries being drained without warning, or feeling a mysterious, unwelcoming presence. "	True	True	2003-11-07	5	Evening	Ghost	Several Ghosts	Female Ghost, Child Ghost	Murder, Death	19.8	10:06	7:14	5:20	7.0	-0.3	0.0	Unknown	Unknown	Unknown	True	RGB(120, 107, 74)	bench	474x315
Canton	United States	Old Frank's Nursery & Crafts - Employees of this store were said to hear moaning after closing, along with merchandise falling off shelves. Other employees even said to be pushed by the spirit.	Ford Road	Michigan	MI	-83.4895295	42.3218667	-83.48211599999999	42.3086444	     The bridge is said to be haunted by the spirit of a woman who was killed in a car accident. According to legend, her apparition is seen at night, searching for her lost love, who survived the crash. Additional r esearch for this allegedly haunted location is currently in progress.	True	True	2000-03-07	1	Evening	UFO, Ghost	Single Ghost	Female Ghost	Murder	19.8	11:33	6:58	6:31	21.4	0.5	0.0	Unknown	Unknown	Unknown	True	RGB(75, 67, 70)	car, traffic light	474x316
Canton	United States	Reports of whispers heard and cars being pushed.	Gyde Rd.	Michigan	MI	-83.5177329	42.3428997	-83.48211599999999	42.3086444		True	True	2006-03-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	19.8	11:31	6:59	6:31	5.5	-5.3	0.0	Unknown	Unknown	Unknown	True	RGB(79, 88, 63)	Unknown	474x315
Cass City	United States	Back in the 1800's a young lady got in a horse and buggy accident. Her buggy wheel went off the bridge and flipped, she drown in 2 feet of water. On foggy summer night you can see her hand come up over the road and hear her please for help!	Crawford Rd. bridge	Michigan	MI	-83.1334217	43.5727986	-83.17466929999999	43.6008515		True	True	1800-03-07	1	Evening	Ghost	Single Ghost	Unknown	Murder	19.8	11:30	6:27	5:56	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(62, 182, 226)	truck	474x355
Central Lake	United States	The Lamplights Inn has been a landmark in Central Lake since 1924. It was built in the very early 1900s. Beginning in the early '50s, the successive owners have had persistent reports of ghosts. A man and woman dressed in late '20s - early '30s garb have been seen many times over the years, not only by owners' families, but also by employees and customers alike. The descriptions are uncannily similar. A customer recently reported the man and woman ghosts dancing together in the bar area with a little girl ghost looking on. These ghosts also window peep (on the second floor). They certainly appear to be fun loving. Another story tells of the daughter of a former hotel manager, who was preparing to elope with her fiancée, and tripped on her gown while descending the ladder. She fell to her death and returns to walk the hallway upstairs in her wedding gown. And, it is a fact that Mrs. Gill who, with her husband, were the first managers of the hotel, returned and lived out her remaining years at the hotel. She died in the early '50s in one of the upstairs bedrooms. Many people have reported seeing her stand in the upstairs window looking onto the village. In 1979 Ted Strzempek bought the lamplight he said he was in the upstairs hallway painting when a women in a white dress ran by him and through all the boxes he had stacked by the wall she ran into a bedroom and he ran in after her only to find an empty room. The Murphy's now own the lamplight and if you ask them if the lamplight is haunted they will not deny it.	Murphy's Lamplight Inn	Michigan	MI	-85.264923	45.0720901	-85.2645105	45.0700047		True	True	1979-03-07	1	Morning	Ghost	Several Ghosts	Male Ghost, Female Ghost, Child Ghost	Death, Supernatural	19.8	11:27	7:09	6:35	1.2	-4.0	0.7	Unknown	Unknown	Unknown	False	RGB(47, 31, 21)	Unknown	474x323
